,Unnamed: 0,Happiness Rank,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year
470,0,1,Finland,Western Europe,7.632,1.305,1.592,0.874,0.681,0.393,0.202,2018
471,1,2,Norway,Western Europe,7.594,1.456,1.582,0.861,0.686,0.34,0.286,2018
472,2,3,Denmark,Western Europe,7.555,1.351,1.59,0.868,0.683,0.408,0.284,2018
473,3,4,Iceland,Western Europe,7.495,1.343,1.644,0.914,0.677,0.138,0.353,2018
474,4,5,Switzerland,Western Europe,7.487,1.42,1.549,0.927,0.66,0.357,0.256,2018
475,5,6,Netherlands,Western Europe,7.441,1.361,1.488,0.878,0.638,0.295,0.333,2018
476,6,7,Canada,North America,7.328,1.33,1.532,0.896,0.653,0.291,0.321,2018
477,7,8,New Zealand,Australia and New Zealand,7.324,1.268,1.601,0.876,0.669,0.389,0.365,2018
478,8,9,Sweden,Western Europe,7.314,1.355,1.501,0.913,0.659,0.383,0.285,2018
479,9,10,Australia,Australia and New Zealand,7.272,1.34,1.573,0.91,0.647,0.302,0.361,2018
480,10,11,United Kingdom,Western Europe,7.19,1.244,1.433,0.888,0.464,0.082,0.262,2018
481,11,12,Austria,Western Europe,7.139,1.341,1.504,0.891,0.617,0.224,0.242,2018
482,12,13,Costa Rica,Latin America and Caribbean,7.072,1.01,1.459,0.817,0.632,0.101,0.143,2018
483,13,14,Ireland,Western Europe,6.977,1.448,1.583,0.876,0.614,0.306,0.307,2018
484,14,15,Germany,Western Europe,6.965,1.34,1.474,0.861,0.586,0.28,0.273,2018
485,15,16,Belgium,Western Europe,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2018
486,16,17,Luxembourg,Western Europe,6.91,1.576,1.52,0.896,0.632,0.321,0.196,2018
487,17,18,United States,North America,6.886,1.398,1.471,0.819,0.547,0.133,0.291,2018
488,18,19,Israel,Middle East and Northern Africa,6.814,1.301,1.559,0.883,0.533,0.272,0.354,2018
489,20,21,Czech Republic,Central and Eastern Europe,6.711,1.233,1.489,0.854,0.543,0.034,0.064,2018
490,21,22,Malta,Western Europe,6.627,1.27,1.525,0.884,0.645,0.142,0.376,2018
491,22,23,France,Western Europe,6.489,1.293,1.466,0.908,0.52,0.176,0.098,2018
492,23,24,Mexico,Latin America and Caribbean,6.488,1.038,1.252,0.761,0.479,0.095,0.069,2018
493,24,25,Chile,Latin America and Caribbean,6.476,1.131,1.331,0.808,0.431,0.061,0.197,2018
494,25,26,Taiwan,Eastern Asia,6.441,1.365,1.436,0.857,0.418,0.078,0.151,2018
495,26,27,Panama,Latin America and Caribbean,6.43,1.112,1.438,0.759,0.597,0.063,0.125,2018
496,27,28,Brazil,Latin America and Caribbean,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2018
497,28,29,Argentina,Latin America and Caribbean,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2018
498,29,30,Guatemala,Latin America and Caribbean,6.382,0.781,1.268,0.608,0.604,0.071,0.179,2018
499,30,31,Uruguay,Latin America and Caribbean,6.379,1.093,1.459,0.771,0.625,0.155,0.13,2018
500,31,32,Qatar,Middle East and Northern Africa,6.374,1.649,1.303,0.748,0.654,0.171,0.256,2018
501,32,33,Saudi Arabia,Middle East and Northern Africa,6.371,1.379,1.331,0.633,0.509,0.127,0.098,2018
