,Unnamed: 0,Happiness Rank,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year
625,0,1,Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.393,0.153,2019
626,1,2,Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.41,0.252,2019
627,2,3,Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.341,0.271,2019
628,3,4,Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.118,0.354,2019
629,4,5,Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.298,0.322,2019
630,5,6,Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.343,0.263,2019
631,6,7,Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.373,0.267,2019
632,7,8,New Zealand,Australia and New Zealand,7.307,1.303,1.557,1.026,0.585,0.38,0.33,2019
633,8,9,Canada,North America,7.278,1.365,1.505,1.039,0.584,0.308,0.285,2019
634,9,10,Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.226,0.244,2019
635,10,11,Australia,Australia and New Zealand,7.228,1.372,1.548,1.036,0.557,0.29,0.332,2019
636,11,12,Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.093,0.144,2019
637,12,13,Israel,Middle East and Northern Africa,7.139,1.276,1.455,1.029,0.371,0.082,0.261,2019
638,13,14,Luxembourg,Western Europe,7.09,1.609,1.479,1.012,0.526,0.316,0.194,2019
639,14,15,United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.278,0.348,2019
640,15,16,Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.31,0.298,2019
641,16,17,Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.265,0.261,2019
642,17,18,Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.21,0.16,2019
643,18,19,United States,North America,6.892,1.433,1.457,0.874,0.454,0.128,0.28,2019
644,19,20,Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.036,0.046,2019
645,20,21,United Arab Emirates,Middle East and Northern Africa,6.825,1.503,1.31,0.825,0.598,0.182,0.262,2019
646,21,22,Malta,Western Europe,6.726,1.3,1.52,0.999,0.564,0.151,0.375,2019
647,22,23,Mexico,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.073,0.074,2019
648,23,24,France,Western Europe,6.592,1.324,1.472,1.045,0.436,0.183,0.111,2019
649,24,25,Taiwan,Eastern Asia,6.446,1.368,1.43,0.914,0.351,0.097,0.242,2019
650,25,26,Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.056,0.187,2019
651,26,27,Guatemala,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.078,0.175,2019
652,27,28,Saudi Arabia,Middle East and Northern Africa,6.375,1.403,1.357,0.795,0.439,0.132,0.08,2019
653,28,29,Qatar,Middle East and Northern Africa,6.374,1.684,1.313,0.871,0.555,0.167,0.22,2019
654,29,30,Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.079,0.153,2019
655,30,31,Panama,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.054,0.109,2019
656,31,32,Brazil,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.086,0.099,2019
657,32,33,Uruguay,Latin America and Caribbean,6.293,1.124,1.465,0.891,0.523,0.15,0.127,2019
658,33,34,Singapore,Southeastern Asia,6.262,1.572,1.463,1.141,0.556,0.453,0.271,2019
659,34,35,El Salvador,Latin America and Caribbean,6.253,0.794,1.242,0.789,0.43,0.074,0.093,2019
660,35,36,Italy,Western Europe,6.223,1.294,1.488,1.039,0.231,0.03,0.158,2019
661,36,37,Bahrain,Middle East and Northern Africa,6.199,1.362,1.368,0.871,0.536,0.11,0.255,2019
662,37,38,Slovakia,Central and Eastern Europe,6.198,1.246,1.504,0.881,0.334,0.014,0.121,2019
663,38,39,Trinidad & Tobago,-,6.192,1.231,1.477,0.713,0.489,0.016,0.185,2019
664,39,40,Poland,Central and Eastern Europe,6.182,1.206,1.438,0.884,0.483,0.05,0.117,2019
665,40,41,Uzbekistan,Central and Eastern Europe,6.174,0.745,1.529,0.756,0.631,0.24,0.322,2019
666,41,42,Lithuania,Central and Eastern Europe,6.149,1.238,1.515,0.818,0.291,0.042,0.043,2019
667,42,43,Colombia,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.034,0.099,2019
668,43,44,Slovenia,Central and Eastern Europe,6.118,1.258,1.523,0.953,0.564,0.057,0.144,2019
669,44,45,Nicaragua,Latin America and Caribbean,6.105,0.694,1.325,0.835,0.435,0.127,0.2,2019
670,45,46,Kosovo,Central and Eastern Europe,6.1,0.882,1.232,0.758,0.489,0.006,0.262,2019
671,46,47,Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.05,0.066,2019
672,47,48,Romania,Central and Eastern Europe,6.07,1.162,1.232,0.825,0.462,0.005,0.083,2019
673,48,49,Cyprus,Western Europe,6.046,1.263,1.223,1.042,0.406,0.041,0.19,2019
674,49,50,Ecuador,Latin America and Caribbean,6.028,0.912,1.312,0.868,0.498,0.087,0.126,2019
675,50,51,Kuwait,Middle East and Northern Africa,6.021,1.5,1.319,0.808,0.493,0.097,0.142,2019
676,51,52,Thailand,Southeastern Asia,6.008,1.05,1.409,0.828,0.557,0.028,0.359,2019
677,52,53,Latvia,Central and Eastern Europe,5.94,1.187,1.465,0.812,0.264,0.064,0.075,2019
678,53,54,South Korea,Eastern Asia,5.895,1.301,1.219,1.036,0.159,0.056,0.175,2019
679,54,55,Estonia,Central and Eastern Europe,5.893,1.237,1.528,0.874,0.495,0.161,0.103,2019
